,0,household,idealCluster
0,35,0,0
1,44,1,3
2,77,0,0
3,94,0,0
4,114,0,0
5,187,1,3
6,222,2,2
7,252,0,0
8,370,0,0
9,483,0,0
10,484,0,0
11,661,0,0
12,739,0,0
13,744,0,0
14,871,0,0
15,1042,1,1
16,1086,0,0
17,1103,1,1
18,1185,0,0
19,1283,0,0
20,1403,0,0
21,1415,1,3
22,1507,0,0
23,1556,0,0
24,1589,0,0
25,1619,0,0
26,1697,0,0
27,1714,0,0
28,1718,0,0
29,1790,0,0
30,1791,0,0
31,1792,1,3
32,1800,0,0
33,1801,0,0
34,2018,0,0
35,2034,0,0
36,2072,0,0
37,2094,0,0
38,2129,0,0
39,2233,0,0
40,2335,0,0
41,2378,1,3
42,2449,0,0
43,2461,0,0
44,2470,1,1
45,2575,0,0
46,2638,0,0
47,2755,0,0
48,2814,2,2
49,2818,2,2
50,2945,0,0
51,2946,1,1
52,2965,1,1
53,2980,0,0
54,3036,0,0
55,3039,2,2
56,3134,0,0
57,3310,0,0
58,3367,0,0
59,3527,0,0
60,3544,0,0
61,3577,0,0
62,3635,0,0
63,3723,0,0
64,3778,0,0
65,3849,0,0
66,3893,0,0
67,3918,0,1
68,4029,0,1
69,4031,0,0
70,4193,2,2
71,4228,0,0
72,4296,1,1
73,4352,0,1
74,4356,0,0
75,4373,1,1
76,4421,0,0
77,4447,0,0
78,4514,0,0
79,4732,0,0
80,4767,0,0
81,4998,0,0
82,5129,0,0
83,5131,0,0
84,5193,0,0
85,5275,0,1
86,5317,0,0
87,5395,1,1
88,5403,0,0
89,5439,0,0
90,5484,0,0
91,5636,0,0
92,5658,1,1
93,5785,0,0
94,5810,0,0
95,5814,0,0
96,5892,0,0
97,5972,0,0
98,6412,0,1
99,6505,2,2
100,6578,2,2
101,6673,0,0
102,6685,1,1
103,6830,0,0
104,6836,0,0
105,6863,1,3
106,6910,0,0
107,7016,0,0
108,7017,0,0
109,7030,0,0
110,7117,0,0
111,7287,0,0
112,7429,0,0
113,7460,0,0
114,7674,0,0
115,7682,0,0
116,7739,0,0
117,7741,1,3
118,7794,0,1
119,7900,0,0
120,7919,0,0
121,7965,1,1
122,7989,0,0
123,8059,2,2
124,8084,0,0
125,8086,0,0
126,8155,0,1
127,8156,0,0
128,8244,0,0
129,8386,0,0
130,8467,0,0
131,8829,0,0
132,8890,0,0
133,8967,0,0
134,9052,0,1
135,9121,0,0
136,9134,0,0
137,9160,0,0
138,9278,0,0
139,9295,0,0
140,9474,0,0
141,9600,0,0
142,9631,0,0
143,9639,1,3
144,9729,0,0
145,9766,1,1
146,9849,0,0
147,9956,2,2
148,9982,0,0
